1/1/2015	1175
2/1/2015	1123
3/1/2015	1150
4/1/2015	1146
5/1/2015	1259
6/1/2015	1361
7/1/2015	1450
8/1/2015	1471
9/1/2015	1402
10/1/2015	1084
11/1/2015	1006
12/1/2015	1231
13/1/2015	1261
14/1/2015	1440
15/1/2015	1540
16/1/2015	1533
17/1/2015	1238
18/1/2015	1112
19/1/2015	1323
20/1/2015	1569
21/1/2015	1498
22/1/2015	1487
23/1/2015	1484
24/1/2015	1224
25/1/2015	1101
26/1/2015	1525
27/1/2015	1735
28/1/2015	1720
29/1/2015	1692
30/1/2015	1674
31/1/2015	1372
1/2/2015	1215
2/2/2015	1704
3/2/2015	1853
4/2/2015	1894
5/2/2015	1898
6/2/2015	1836
7/2/2015	1437
8/2/2015	1301
9/2/2015	1641
10/2/2015	1877
11/2/2015	1891
12/2/2015	1881
