1/1/2015	1121
2/1/2015	1313
3/1/2015	1261
4/1/2015	1288
5/1/2015	1284
6/1/2015	1397
7/1/2015	1499
8/1/2015	1588
9/1/2015	1609
10/1/2015	1540
11/1/2015	1222
12/1/2015	1144
13/1/2015	1369
14/1/2015	1399
15/1/2015	1578
16/1/2015	1678
17/1/2015	1671
18/1/2015	1376
19/1/2015	1250
20/1/2015	1461
21/1/2015	1707
22/1/2015	1636
23/1/2015	1625
24/1/2015	1622
25/1/2015	1362
26/1/2015	1239
27/1/2015	1663
28/1/2015	1873
29/1/2015	1858
30/1/2015	1830
31/1/2015	1812
1/2/2015	1510
2/2/2015	1353
3/2/2015	1842
4/2/2015	1991
5/2/2015	2032
6/2/2015	2036
7/2/2015	1974
8/2/2015	1575
9/2/2015	1439
10/2/2015	1779
11/2/2015	2015
12/2/2015	2029
